SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
505324,MANUGRAPH IN,B ,Q,28.30,28.30,27.95,27.95,27.95,28.70,3,175,4938.00,
505343,MONOTYPE IND,XT,Q,0.30,0.30,0.30,0.30,0.30,0.31,2,2600,780.00,
505355,NESCO LTD   ,B ,Q,449.00,449.00,438.10,439.35,440.00,444.25,88,1909,842445.00,
505358,INTEGRA ENG ,X ,Q,54.45,54.95,53.00,54.15,54.15,55.95,85,7230,390951.00,
505400,TEXINFRA    ,B ,Q,57.55,60.10,56.10,59.15,60.10,56.80,40,1795,106084.00,
505412,WENDT(INDIA),B ,Q,3070.00,3070.00,2980.15,3027.55,3024.30,2992.45,16,50,150649.00,
505502,PSITINFRA   ,X ,Q,48.60,48.60,47.65,48.60,48.60,48.60,13,8376,401577.00,
505509,RESPON IND  ,B ,Q,87.30,91.00,86.50,88.20,91.00,89.75,51,17930,1568942.00,
505526,DOLAT INV.  ,X ,Q,73.50,74.90,70.20,70.65,70.65,72.00,1030,272959,19624733.00,
505533,WESTLIFE DEV,B ,Q,381.90,396.00,376.10,379.70,377.00,379.90,1262,196674,74971476.00,
505537,ZEE ENTER   ,A ,Q,345.00,361.60,328.80,348.50,348.50,356.50,19420,1198361,417180077.00,
505576,GOLDCORP    ,X ,Q,49.35,54.00,49.30,49.30,49.30,51.85,22,5002,246615.00,
505590,SVPGLOB     ,X ,Q,299.50,309.50,285.00,292.15,292.15,289.50,175,25798,7682182.00,
505681,BIMETAL BEAR,X ,Q,499.90,499.90,476.30,498.90,498.90,495.00,14,114,56609.00,
505688,BHARAT GEARS,B ,Q,154.55,155.05,153.00,153.85,154.10,156.35,43,1078,166077.00,
505700,ELECON ENG  ,B ,Q,65.10,65.25,60.00,62.30,62.30,65.65,119,14503,908089.00,
505710,GRAUER& WEIL,B ,Q,47.00,47.50,46.00,47.25,47.25,46.55,236,35575,1658421.00,
505711,GAJRA BEVEL ,XT,Q,0.66,0.66,0.63,0.63,0.63,0.66,4,326,208.00,
505712,HIMTEK      ,X ,Q,125.00,125.90,116.10,122.05,122.05,131.95,57,2504,302767.00,
505714,GABRIEL(I)  ,B ,Q,146.70,146.95,144.00,146.65,146.65,146.15,138,6326,921927.00,
505720,HERC.HOISTS ,B ,Q,104.00,104.80,100.00,102.05,102.05,103.70,46,1310,134351.00,
505725,HIND.EVEREST,XT,Q,61.50,61.55,59.05,61.00,61.00,58.65,30,1312,80569.00,
505726,IFB IND.LTD.,B ,Q,793.15,793.15,770.00,782.25,785.80,799.15,63,575,447850.00,
505729,SINGER INDIA,X ,Q,38.45,39.70,38.45,38.85,39.25,39.15,80,18940,735501.00,
505737,INTER.COMBUS,X ,Q,275.00,276.50,275.00,276.30,276.20,274.15,3,13,3578.00,
505744,FED MOG GOE ,B ,Q,498.65,506.00,497.00,505.10,506.00,506.45,14,490,246918.00,
505750,JOSTS ENG.  ,X ,Q,747.50,750.00,712.00,718.35,730.00,676.35,39,538,399829.00,
505790,SCHAEFFLER  ,A ,Q,5416.10,5445.00,5266.55,5349.90,5360.00,5370.35,34,47,251666.00,
505800,RANE HOLDIN ,B ,Q,1008.00,1008.00,948.00,988.40,990.00,1036.10,47,123,120125.00,
505827,SNL BEARINGS,X ,Q,295.25,302.50,290.00,290.75,290.00,300.10,35,665,195128.00,
505840,JAIPAN INDUS,XT,Q,21.00,22.10,20.35,20.35,20.35,21.20,3,436,9031.00,
505850,MANCREDIT   ,X ,Q,50.00,53.00,49.00,50.10,50.10,49.95,158,59281,2975184.00,
505854,TRF LTD.    ,B ,Q,107.10,107.95,104.75,104.85,104.85,108.00,148,9184,974291.00,
505872,WPIL LTD.   ,X ,Q,779.00,792.95,771.00,781.85,786.00,778.15,51,1016,789264.00,
505890,KENNAMETAL  ,B ,Q,1169.00,1169.00,1102.60,1150.00,1150.00,1166.80,580,13928,15937053.00,
505893,HINDHARD    ,X ,Q,110.25,110.25,110.25,110.25,110.25,105.00,2,137,15104.00,
505978,TRITON VALVE,X ,Q,1100.00,1100.00,1000.00,1034.70,1069.00,1063.70,26,119,122029.00,
506003,SUDAL INDUS ,XT,Q,5.51,5.51,5.51,5.51,5.51,5.79,1,1000,5510.00,
506016,JRIIIL      ,Z ,Q,0.62,0.62,0.62,0.62,0.62,0.62,1,1300,806.00,
